ssuid|pnum|panel|finyr3
00011413613418|101|2018|12934.175893
00011455225318|101|2018|29066.66507
00011481607018|101|2018|32961.197818
00011481607018|102|2018|25314.860097
00011481677018|101|2018|9776.2392517
00011481677018|102|2018|16184.605949
00013345043118|101|2018|29590.207485
00013355998818|101|2018|14435.562535
00028503462618|101|2018|17546.450239
00028503462618|102|2018|16357.747929
00028503464618|101|2018|23435.14604
00028504944018|101|2018|14266.892535
00028507348618|101|2018|7167.4463357
00028507377818|101|2018|7649.1146431
00028511493318|101|2018|6694.2437269
00028511493318|102|2018|5960.123472
00028517288318|101|2018|31741.965696
00028517288318|102|2018|31741.965696
00028519999418|101|2018|5430.8451166
00028533450918|101|2018|10828.077392
00028533450918|102|2018|9031.0409802
00028535938618|101|2018|9956.7102507
00028535938618|102|2018|10082.90735
00028599519318|101|2018|29024.304628
00028599519318|102|2018|25182.127025
00037989233418|101|2018|56868.734729
00040611408618|101|2018|12839.031874
00040628529418|101|2018|14246.20337
00040628529418|103|2018|12727.871355
00040628529418|104|2018|12727.871355
00040681629418|101|2018|8259.7842409
00040681629418|102|2018|8291.5219387
00040681694418|101|2018|26254.306532
00040686006018|101|2018|9517.8205674
00041803713818|101|2018|24436.839118
00041803742018|101|2018|9745.3530828
00041803742018|102|2018|10230.764044
00041803750918|101|2018|35656.217503
00041803758418|101|2018|5965.0775143
00041803758418|102|2018|7010.480415
00041803780418|101|2018|12269.588194
00041803780418|102|2018|14062.587058
00041803780418|103|2018|32533.974191
00041803780418|104|2018|27196.315073
00041803780418|105|2018|18937.635384
00041804902318|101|2018|5012.9175892
00041804974618|101|2018|8703.3529887
00041804974618|102|2018|10043.489804
00041808617318|101|2018|14087.054782
00041808617318|102|2018|17647.178396
00041808629118|101|2018|11997.085409
00041808644918|101|2018|7279.3423017
00041808644918|102|2018|8977.3963778
00041808644918|103|2018|5281.8705459
00041808644918|104|2018|18259.814615
00041808661918|101|2018|6852.1330816
00041808661918|102|2018|8395.8528379
00041808689418|101|2018|16397.660357
00041808689418|103|2018|41059.871447
00041809214918|101|2018|12604.22478
00041809214918|102|2018|13807.022464
00041809214918|103|2018|14119.196138
00041809225918|101|2018|8039.7087253
00041809225918|102|2018|8034.3865277
00041809225918|103|2018|9858.3354391
00041809225918|104|2018|6626.6026936
00041809225918|105|2018|6875.0840798
00041809263018|101|2018|8574.1123092
00041809263018|102|2018|9823.3108775
00041811460218|101|2018|28136.943928
00041813619718|101|2018|10380.449555
00041813619718|102|2018|17503.631051
00041813620718|101|2018|12737.958465
00041813625918|101|2018|4384.4349221
00041817267618|101|2018|12928.165327
00041817267618|102|2018|13824.638655
00041817268918|101|2018|11187.052044
00041818548218|101|2018|7238.1611447
00041818548218|102|2018|5588.9237213
00041819975318|101|2018|6921.5051294
00041819989418|101|2018|8507.8321636
00041819995018|101|2018|7498.9534192
00041819995018|102|2018|7527.7676728
00041819995018|103|2018|8521.9912895
00041820903518|101|2018|14200.870824
00041820903518|102|2018|9632.4127565
00041820903518|103|2018|20259.015492
00041820903518|104|2018|13894.401815
00041820944918|101|2018|10457.818971
00041820944918|102|2018|10619.959008
00041820944918|103|2018|13443.509654
00041820944918|104|2018|7893.1794831
00041820985218|101|2018|7546.5774381
00041820990318|101|2018|3649.9383494
00041820990518|101|2018|10703.810369
00041820990518|102|2018|9639.2764706
00041820990518|103|2018|7358.7594953
00041820990518|104|2018|8475.5796782
00041820990518|105|2018|8314.6392072
00041821551618|101|2018|10040.429623
00041821551618|102|2018|8991.9887588
00041821551618|103|2018|11191.070269
00041821573718|101|2018|11962.107981
00041822806018|101|2018|9863.5330612
00041822806018|102|2018|20403.619473
00041822806018|103|2018|7726.3334652
00041822820718|101|2018|16428.153252
00041822820718|102|2018|14246.20337
00041822820718|103|2018|17164.514073
00041822820718|104|2018|12436.671032
00041822820718|105|2018|11261.515656
00041822825918|101|2018|4627.2189953
00041822825918|102|2018|8020.4210278
00041822863018|101|2018|6746.5418975
00041822863018|102|2018|42651.650509
00041828516218|101|2018|8569.4110553
00041828516218|102|2018|9888.9235759
00041829408618|101|2018|5388.9816056
00041829417418|101|2018|14954.018728
00041829417418|102|2018|16124.419432
00041829417418|103|2018|9551.7315209
00041829417418|104|2018|8470.9266702
00041829428318|101|2018|8855.1786742
00041829428318|102|2018|5055.9206395
00041829431618|101|2018|18182.920934
00041829431618|102|2018|9949.6829416
00041829431618|103|2018|18881.818448
00041829431618|104|2018|11109.788282
00041829485218|101|2018|18135.643729
00041829490518|101|2018|17674.31196
00041829490518|102|2018|25132.378425
00041830213418|101|2018|7802.9903813
00041830317418|101|2018|4648.2358248
00041830344918|101|2018|15756.836167
00041830390518|101|2018|5575.7943072
00041833414918|101|2018|5765.845964
00041833429418|101|2018|3649.9383494
00041834203518|101|2018|11736.307507
00041834203518|102|2018|13213.082134
00041834203518|103|2018|16914.224634
00041834206718|101|2018|8320.0855886
00041834213418|101|2018|14207.968206
00041834213418|102|2018|16265.758814
00041834267618|101|2018|10749.844074
00041834288718|101|2018|11787.458769
00041835914918|101|2018|10055.340926
00041835914918|102|2018|12562.486829
00041835963018|101|2018|8209.8586738
00041835963018|102|2018|10585.746711
00041835966018|101|2018|9656.0945387
